PageValues,Region,Revenue
0,1,FALSE
0,1,FALSE
0,9,FALSE
0,2,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,1,FALSE
0,2,FALSE
0,1,FALSE
0,3,FALSE
0,4,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,9,FALSE
0,4,FALSE
0,1,FALSE
0,1,FALSE
0,4,FALSE
0,5,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,4,FALSE
0,9,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
54.17976426,1,FALSE
0,6,FALSE
0,6,FALSE
0,1,FALSE
0,3,FALSE
0,1,FALSE
0,7,FALSE
0,1,FALSE
0,8,FALSE
0,1,FALSE
0,1,FALSE
0,8,FALSE
0,3,FALSE
0,4,FALSE
0,2,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,3,FALSE
0,1,FALSE
0,4,FALSE
0,2,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
19.44707913,4,FALSE
0,6,FALSE
0,2,FALSE
0,3,FALSE
0,1,FALSE
38.30849268,3,FALSE
0,5,FALSE
0,4,FALSE
22.9160357,3,TRUE
0,1,FALSE
0,5,FALSE
0,2,FALSE
0,3,FALSE
0,1,FALSE
0,6,FALSE
0,3,FALSE
0,3,FALSE
0,3,FALSE
0,1,FALSE
11.43941195,1,TRUE
0,3,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,4,FALSE
0,2,FALSE
0,1,FALSE
0,2,FALSE
0,1,FALSE
0,3,FALSE
0,4,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,1,FALSE
17.53595893,7,TRUE
0,3,FALSE
0,4,FALSE
0,3,FALSE
0,7,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,1,FALSE
0,2,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,3,FALSE
0,9,FALSE
0,4,FALSE
0,1,FALSE
0,3,FALSE
0,3,FALSE
0,3,FALSE
0,3,FALSE
0,1,FALSE
0,8,FALSE
0,9,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,4,FALSE
0,3,FALSE
0,4,FALSE
0,5,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,7,FALSE
0,6,FALSE
0,2,FALSE
0,2,FALSE
0,3,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,4,FALSE
0,2,FALSE
0,1,FALSE
0,3,FALSE
0,5,FALSE
0,3,FALSE
0,1,FALSE
0,2,FALSE
0,3,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,4,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,1,FALSE
0,3,FALSE
0,1,FALSE
0,1,FALSE
0,6,FALSE
0,7,FALSE
0,2,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,8,FALSE
0,2,FALSE
0,6,FALSE
0,1,FALSE
0,3,FALSE
0,6,FALSE
0,6,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
8.000740741,3,FALSE
0,3,FALSE
0,6,FALSE
1.706014966,7,TRUE
46.53017511,1,FALSE
0,1,FALSE
0,1,FALSE
0,1,FALSE
0,3,FALSE
0,7,FALSE
0,1,FALSE
19.34265017,4,TRUE
0,1,FALSE
109.176,9,TRUE
96.25511582,1,TRUE
153.4432478,7,TRUE
0,1,FALSE
